Carreira;Ano;Questao;Area;Utilizada na analise
Engenharia de computacao;2023;10;F¡sica;Nao
Engenharia de computacao;2023;11;Redes;Sim
Engenharia de computacao;2023;12;Matem tica discreta;Sim
Engenharia de computacao;2023;13;F¡sica;Nao
Engenharia de computacao;2023;14;Programa‡Æo;Sim
Engenharia de computacao;2023;15;Programa‡Æo;Sim
Engenharia de computacao;2023;16;Programa‡Æo;Sim
Engenharia de computacao;2023;17;An lise de algoritmos e estruturas de dados;Sim
Engenharia de computacao;2023;18;An lise de algoritmos e estruturas de dados;Sim
Engenharia de computacao;2023;19;Compiladores, an lise semƒntica;Sim
Engenharia de computacao;2023;20;Computa‡Æo em nuvem;Sim
Engenharia de computacao;2023;21;IHC;Sim
Engenharia de computacao;2023;22;Bancos de dados;Sim
Engenharia de computacao;2023;23;F¡sica;Nao
Engenharia de computacao;2023;24;Sistemas embarcados;Sim
Engenharia de computacao;2023;25;Sistemas digitais;Sim
Engenharia de computacao;2023;26;Sistemas operacionais;Sim
Engenharia de computacao;2023;27;Sistemas distribu¡dos;Sim
Engenharia de computacao;2023;28;Sistemas operacionais;Sim
Engenharia de computacao;2023;29;IA;Sim
Engenharia de computacao;2023;30;Programa‡Æo;Sim
Engenharia de computacao;2023;31;Sistemas digitais;Sim
Engenharia de computacao;2023;32;IA;Sim
Engenharia de computacao;2023;33;Sistemas de controle;Sim
Engenharia de computacao;2023;34;Redes;Sim
Engenharia de computacao;2023;35;Redes;Sim
Engenharia de computacao;2023;36;Desempenho de sistemas;Sim
Engenharia de computacao;2023;37;Seguran‡a;Sim
Engenharia de computacao;2023;38;Sistemas distribu¡dos;Sim
